subject_id,instruction_2.stopped,Videos.stopped,condition,encoding_duration_sec,encoding_duration_min,passes_vigilance
sub25,27.911056299999473,1543.065881999999,AB,1515.1548256999995,25.252580428333324,True
sub26,29.009518800001388,1550.3483942999992,AB,1521.3388754999978,25.355647924999964,True
sub27,13.90630670000246,1531.757367000002,AB,1517.8510602999995,25.297517671666657,True
sub28,18.864501399999423,1528.5608579,AB,1509.6963565000005,25.161605941666675,True
sub29,20.7550373999984,1537.6583103000012,AB,1516.9032729000028,25.281721215000047,True
sub30,17.60281060000125,1560.9085922000013,AB,1543.3057816,25.721763026666668,True
sub31,31.722570599988103,1607.002837699998,AB,1575.28026710001,26.254671118333498,True
sub32,17.424329400004353,1657.4918272000068,AB,1640.0674978000025,27.334458296666707,False
sub33,55.783001999996486,1567.3819532999914,AB,1511.598951299995,25.193315854999916,True
sub34,11.139669999989565,1534.7312084000005,AB,1523.591538400011,25.393192306666847,True
sub35,95.05904710000324,1602.2455220999982,AB,1507.186474999995,25.11977458333325,True
sub36,15.541875199996866,1681.5257090999949,AB,1665.983833899998,27.766397231666634,False
sub37,19.32200929999817,1540.4280602999934,AB,1521.1060509999952,25.351767516666587,True
sub38,30.01720590000332,1553.648549199992,AB,1523.6313432999887,25.393855721666476,True
sub39,22.18890699998883,1561.7117681999953,AB,1539.5228612000064,25.65871435333344,True
sub40,18.90329149999889,1569.27938800001,AB,1550.376096500011,25.839601608333517,True
sub44,14.409485299984226,1538.243437099998,NB,1523.8339518000137,25.397232530000228,True
sub45,15.854693500004942,1553.2183858999924,NB,1537.3636923999875,25.62272820666646,True
sub46,10.799139100010509,1534.930743600009,NB,1524.1316044999985,25.402193408333307,True
sub47,21.384455100022024,1550.4251906000136,NB,1529.0407354999916,25.48401225833319,True
sub48,19.70182330001262,1592.0149409000005,NB,1572.313117599988,26.205218626666465,True
sub49,20.101655300008133,1564.3525243000186,NB,1544.2508690000104,25.737514483333506,True
sub50,15.505299099982947,1533.3941022999934,NB,1517.8888032000104,25.298146720000172,True
sub51,32.92853679996915,1586.678071299917,NB,1553.749534499948,25.895825574999133,True
