participant_id,condition,accuracy,resp.corr_std,n_trials,mean_rt,median_rt,resp.rt_std,mean_confidence,conf_radio.response_std
sub80,NB,87.5,0.3349320635285418,40,5.758909239999047,4.702294900009292,3.1651082648856943,4.7,0.723240570679579
sub81,NB,87.5,0.3349320635285418,40,5.656645187498361,4.884087650003494,2.684771953583851,3.6,1.0813097471264972
sub82,NB,87.5,0.3349320635285419,40,5.814412162503868,5.47515784999996,2.3169812933955796,4.05,1.3577885489242214
sub83,NB,95.0,0.22072142786315224,40,4.7477389700026835,4.043065300007584,2.30665325870825,4.4,1.0327955589886444
sub84,NB,82.5,0.3848076442547927,40,4.8335976275004215,4.732415599981323,1.6916805454003196,4.325,1.0951524890895215
sub85,NB,87.5,0.3349320635285418,40,6.88589992750276,5.757845200001611,3.5044638376736743,4.675,0.6155047959570695
sub86,NB,85.0,0.3616202853397894,40,6.261664452496916,6.0066498999949545,2.5174753860304473,4.175,1.3182642044827404
sub87,NB,82.5,0.38480764425479264,40,4.027721002502221,3.5373053000075743,1.644303622762243,3.55,1.153589715093382
sub88,AB,87.5,0.33493206352854177,40,5.498051344999112,4.718349849994411,2.728910519358341,4.3,1.3625014702415028
sub89,AB,82.5,0.38480764425479264,40,7.6028700299997585,5.55737814999884,4.74331850922599,3.725,1.3006408676751113
sub90,AB,97.5,0.15811388300841897,40,4.950023740000324,3.853597549998085,3.276314554917819,4.7,0.686873257446286
sub91,AB,97.5,0.15811388300841897,40,6.220674327498273,5.001902299991343,4.715381128280478,4.775,0.4797167967959899
sub92,AB,90.0,0.3038218101251,40,4.85162034999812,4.331629550011712,2.1718783082584383,4.1,1.1502508087703842
sub93,AB,90.0,0.3038218101251,40,5.0399133025021,4.0541381999937585,2.6441428087895176,4.625,0.806623224089801
sub94,AB,67.5,0.47434164902525683,40,4.408705537502828,3.842298050003592,2.28578670371104,3.625,1.1251780485885958
sub95,AB,85.0,0.36162028533978946,40,5.188012942498608,4.508807649981463,2.5729628018168516,3.375,1.3716450912718847
sub96,AB,77.5,0.4229020617662602,40,5.998426357501012,4.523712399997748,4.449905192899608,3.6,1.464100318827144
sub97,AB,85.0,0.3616202853397895,40,5.771542477502953,5.227629300003173,2.5869717041421385,3.575,0.8439072740411042
sub98,AB,75.0,0.43852900965351455,40,3.3990168424948934,3.0969144999980927,1.2214573409195395,4.4,0.9818872461248104
sub99,AB,82.5,0.3848076442547927,40,8.831371195000248,8.494204349990468,3.4406701285874375,4.075,1.0472797485843364
